IST,PM2.5_ATM_Âµg/m3,PM 2.5 - CPCB
2/27/2021 5:30,180.18,97.35
2/27/2021 6:30,228.23,105
2/27/2021 7:30,227.51,104.9
2/27/2021 8:30,99.43,107.7
2/27/2021 9:30,47.02,108.2
2/27/2021 10:30,43.77,92.4
2/27/2021 11:30,33.7,73.9
2/27/2021 12:30,31.03,57.8
2/27/2021 13:30,35.3,45.5
2/27/2021 14:30,38.7,32.7
2/27/2021 15:30,49.05,30.25
2/27/2021 16:30,49.02,35.9
2/27/2021 17:30,80.07,39.4
2/27/2021 18:30,243.76,45.25
2/27/2021 19:30,166.41,50.9
2/27/2021 20:30,85.55,58.85
2/27/2021 21:30,88.36,59.55
2/27/2021 22:30,87.6,56.8
2/27/2021 23:30,88.95,55.8
2/28/2021 0:30,101.81,49.4
2/28/2021 1:30,103.09,51.05
2/28/2021 2:30,109.54,48.75
2/28/2021 3:30,109.29,51.8
2/28/2021 4:30,114.05,55
2/28/2021 5:30,114.14,54.15
2/28/2021 6:30,115.36,54.75
2/28/2021 7:30,107.28,55.05
2/28/2021 8:30,104.74,55.95
2/28/2021 9:30,103.56,60.85
2/28/2021 10:30,82.98,68.9
2/28/2021 11:30,55.97,70.75
2/28/2021 12:30,48.9,70.55
2/28/2021 13:30,43,63.35
2/28/2021 14:30,45.94,54.45
2/28/2021 15:30,40.78,50.6
2/28/2021 16:30,39.98,45.5
2/28/2021 17:30,101.56,47.35
2/28/2021 18:30,180.87,53.1
2/28/2021 19:30,115.77,57.75
2/28/2021 20:30,116.72,61.65
2/28/2021 21:30,105.38,59.6
2/28/2021 22:30,103.22,58.75
2/28/2021 23:30,100.06,57.6
3/1/2021 0:30,99.4,54.65
3/1/2021 1:30,103.68,51.9
3/1/2021 2:30,98.78,51.45
3/1/2021 3:30,86.88,53.15
3/1/2021 4:30,85.93,50.25
3/1/2021 5:30,89.03,46.5
3/1/2021 6:30,98.05,45.8
3/1/2021 7:30,90.15,42.8
3/1/2021 8:30,87.68,41.75
3/1/2021 9:30,99.42,43.6
3/1/2021 10:30,101,48.85
3/1/2021 11:30,68.91,55
3/1/2021 12:30,50.61,55.7
3/1/2021 13:30,42.54,51.85
3/1/2021 14:30,44.8,54.5
3/1/2021 15:30,45.14,57.7
3/1/2021 16:30,45.34,56.75
3/1/2021 17:30,54.59,58.45
3/1/2021 18:30,85.55,60.2
3/1/2021 19:30,106.25,65.45
3/1/2021 20:30,153.69,70.3
3/1/2021 21:30,166.4,81.25
3/1/2021 22:30,113.8,89.55
3/1/2021 23:30,107.36,86.7
3/2/2021 0:30,113.47,73.55
3/2/2021 1:30,101.71,62.95
3/2/2021 2:30,120.55,63.6
3/2/2021 3:30,133.89,61.95
3/2/2021 4:30,176.5,60.95
3/2/2021 5:30,224.58,67.25
3/2/2021 6:30,120.32,76.75
3/2/2021 7:30,117.45,70.6
3/2/2021 8:30,116.04,71.25
3/2/2021 9:30,129.46,71.6
3/2/2021 10:30,91.98,71.95
3/2/2021 11:30,62.57,74
3/2/2021 12:30,53.45,68.3
3/2/2021 13:30,56.47,63.1
3/2/2021 14:30,62.11,66.4
3/2/2021 15:30,56.63,68.25
3/2/2021 16:30,55.2,63.6
3/2/2021 17:30,73.71,57
3/2/2021 18:30,116.08,54.35
3/2/2021 19:30,119.74,54.95
3/2/2021 20:30,77.79,53.35
3/2/2021 21:30,73.78,50.75
3/2/2021 22:30,71.93,51.7
3/2/2021 23:30,66.72,49.9
3/3/2021 0:30,70.31,42.2
3/3/2021 1:30,78.58,39.95
3/3/2021 2:30,75.61,44
3/3/2021 3:30,90.47,39.65
3/3/2021 4:30,96.18,37.55
3/3/2021 5:30,81.86,45.65
3/3/2021 6:30,78.76,61.35
3/3/2021 7:30,63.87,60.4
3/3/2021 8:30,60.02,58.4
3/3/2021 9:30,55.92,62.6
3/3/2021 10:30,49.24,63.5
3/3/2021 11:30,52.04,61.5
3/3/2021 12:30,56.12,59.25
3/3/2021 13:30,64.34,61.45
3/3/2021 14:30,55.49,60.55
3/3/2021 15:30,56.62,60.1
3/3/2021 16:30,65.42,62.3
3/3/2021 17:30,70.81,67.2
3/3/2021 18:30,102.01,69.25
3/3/2021 19:30,140.66,75.9
3/3/2021 20:30,285.31,85.3
3/3/2021 21:30,268.77,87.55
3/3/2021 22:30,246.32,90.05
3/3/2021 23:30,339.65,92.1
3/4/2021 0:30,225.64,99.9
3/4/2021 1:30,158.46,106.6
3/4/2021 2:30,173.45,101.15
3/4/2021 3:30,206.47,112.6
3/4/2021 4:30,201.62,121.85
3/4/2021 5:30,269.21,118.1
3/4/2021 6:30,264.76,117.25
3/4/2021 7:30,313.6,116.55
3/4/2021 8:30,199.4,126.9
3/4/2021 9:30,108.21,130.35
3/4/2021 12:30,92.32,50
3/4/2021 13:30,88.49,65.3
3/4/2021 14:30,82.05,70.9
3/4/2021 15:30,75.22,73.1
3/4/2021 16:30,83.23,75.4
3/4/2021 17:30,92.29,77.7
3/4/2021 18:30,226.82,76.3
3/4/2021 19:30,174.38,93.4
3/4/2021 20:30,118.62,103.4
3/4/2021 21:30,112.21,88
3/4/2021 22:30,112.08,77.6
3/4/2021 23:30,102.58,76.3
3/5/2021 0:30,110.87,67.9
3/5/2021 1:30,100.94,65.1
3/5/2021 2:30,100.58,60.1
3/5/2021 3:30,100.38,58.5
3/5/2021 4:30,98.74,57.4
3/5/2021 5:30,103.79,53.3